Name,Currency,Top Category,Category,Updates,Comments,Rewards,Goal,Pledged,Backers,Start,End,Duration in Days,Facebook Friends,Facebook Shares,Creator - # Projects Created,Creator - # Projects Backed,# Videos,# Images,# Words (Description),# Words (Risks and Challenges),# FAQs,r1,r2,r3,f1,f2,f3,Result,Video
"Robert Cooper Music's New Album ""Wayward Pines""",USD,Music,Music,0,0,8,1800,15,1,2014/5/15,2014/6/14,30,540,13,1,0,0,0,156,140,0,0,0,0,0,0,0,0,1
REBIRTH,USD,Film & Video,Science Fiction,0,0,11,15644,15779,44,2014/5/7,2014/6/6,30,894,131,1,4,0,0,1266,114,0,480,1380,2008,6,7,8,1,1
The Arduino Compatible Educational Sensor Learning Board,CAD,Technology,Hardware,13,63,8,900,5796,180,2014/1/23,2014/2/22,30,0,4,4,1,2,5,1823,186,0,664.5,882.75,1100.25,22,31,39,1,1
Lionheir's New Album,AUD,Music,Music,1,0,8,1800,1995.12,36,2014/4/5,2014/5/5,30,0,132,1,0,0,0,302,139,0,86.4,230.4,230.4,2,3,3,1,1
Cody Russell and the Revolvers. Join the Revolvers Nation,USD,Music,Country & Folk,0,0,9,3000,75,3,2014/3/19,2014/5/18,60,342,54,1,1,0,0,244,158,0,50,60,60,1,2,2,0,0
HomeBeacons - Your Child. Home.,GBP,Technology,Technology,2,0,11,63500,177.8,6,2014/3/31,2014/4/30,30,0,31,1,1,0,3,1245,158,1,58.42,59.69,59.69,2,3,3,0,1
New John Russo Novel,USD,Publishing,Fiction,6,0,6,10000,40,3,2014/4/16,2014/5/16,30,262,128,1,10,0,1,331,347,3,0,0,0,0,0,0,0,1
The Curbside Crew,USD,Film & Video,Comedy,0,4,5,1500,1656,31,2014/5/21,2014/6/20,30,0,298,1,0,0,0,149,168,0,450,648,895,8,12,16,1,1
Out of Sync Cup - ZeroEmpires,GBP,Games,Video Games,0,0,3,152.4,401.32,16,2014/2/6,2014/2/28,21,0,17,1,0,0,0,196,48,0,281.94,321.31,349.25,7,11,13,1,1
"A Little This, A Little That",USD,Music,Pop,0,0,5,10000,765,16,2014/3/18,2014/4/22,35,1687,71,1,5,0,0,387,230,0,250,320,320,4,7,7,0,1
Scum Lord: Old School Action Adventure,USD,Games,Video Games,5,9,9,4000,1623,45,2014/1/28,2014/2/24,26,0,126,1,4,1,17,487,107,1,10,190,192,2,8,8,0,1
Fuel Seek The Reason across the nation!,USD,Music,Rock,0,0,9,2500,100,2,2013/12/24,2014/1/23,30,590,10,1,2,2,1,826,32,0,50,100,100,1,2,2,0,1
Among the Stars,USD,Games,Tabletop Games,17,1322,8,15000,190995,2594,2014/4/5,2014/5/5,30,0,214,14,2,4,20,1058,792,0,8258,15543,21607,136,284,392,1,1
Grown Childhood - Designer Toys,CAD,Art,Art,1,0,8,2025,552.75,15,2014/2/12,2014/3/14,29,216,104,2,0,0,10,642,119,0,210.75,274.5,387,5,7,11,0,1
